2024-10-19T10:12:44.978Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T10:20:46.472Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T10:31:37.559Z - User: bard, Action: 모바일 로그인, 성공, 
2024-10-19T10:33:18.728Z - User: bard, Action: 모바일 로그아웃, 성공, 
2024-10-19T10:46:28.657Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T10:46:40.994Z - User: nami, Action: 로그인, 성공, 
2024-10-19T10:46:46.301Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T11:08:35.894Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T11:08:41.515Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T11:08:48.977Z - User: nami, Action: 로그인, 성공, 
2024-10-19T11:08:54.038Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T11:33:07.480Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T11:33:12.101Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T11:33:21.697Z - User: nami, Action: 로그인, 성공, 
2024-10-19T11:33:33.045Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T11:35:25.667Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T11:35:34.973Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T11:36:55.639Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T11:37:00.498Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T11:38:28.621Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T11:38:33.280Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T11:38:43.836Z - User: nami, Action: 로그인, 성공, 
2024-10-19T11:40:13.356Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T11:40:17.748Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T11:40:24.913Z - User: nami, Action: 로그인, 성공, 
2024-10-19T11:41:50.289Z - User: nami, Action: 로그인, 성공, 
2024-10-19T11:43:06.851Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T11:43:13.615Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T11:43:19.254Z - User: nami, Action: 로그인, 성공, 
2024-10-19T11:46:23.374Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T11:46:28.923Z - User: nami, Action: 로그인, 성공, 
2024-10-19T11:46:34.953Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T11:46:43.950Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T11:56:12.951Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T11:56:18.573Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T11:56:22.835Z - User: nami, Action: 로그인, 성공, 
2024-10-19T11:56:28.628Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T12:34:06.110Z - User: nami, Action: OTP 인증, 실패, 만료 또는 잘못된 OTP
2024-10-19T12:34:15.290Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-19T12:34:23.173Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T12:37:18.736Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T12:37:24.152Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T12:37:31.927Z - User: nami, Action: 로그인, 성공, 
2024-10-19T12:37:38.011Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T12:39:35.459Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T12:39:41.861Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T12:39:46.069Z - User: nami, Action: 로그인, 성공, 
2024-10-19T12:39:54.402Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T12:42:09.518Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T12:42:14.444Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T12:42:22.270Z - User: nami, Action: 로그인, 성공, 
2024-10-19T12:42:28.774Z - User: nami, Action: OTP 인증, 실패, 만료 또는 잘못된 OTP
2024-10-19T12:42:37.704Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T12:51:34.333Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T12:51:39.304Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T12:51:43.179Z - User: nami, Action: 로그인, 성공, 
2024-10-19T12:51:48.558Z - User: nami, Action: OTP 인증, 실패, 만료 또는 잘못된 OTP
2024-10-19T12:51:54.219Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T12:55:39.660Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T12:55:45.904Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T12:56:05.674Z - User: nami, Action: 로그인, 성공, 
2024-10-19T12:56:25.307Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T12:57:51.474Z - User: nami, Action: 로그인, 성공, 
2024-10-19T12:57:57.664Z - User: nami, Action: OTP 인증, 실패, 만료 또는 잘못된 OTP
2024-10-19T12:58:06.075Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:00:51.417Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:00:56.950Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:01:15.344Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:01:27.506Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:02:34.073Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:02:38.446Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:02:44.507Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:02:51.106Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:06:26.981Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:07:42.335Z - User: nami, Action: 모바일 로그인, 성공, 
